DATE,GNP
1973-01-01,1388.16
1973-04-01,1425.513
1973-07-01,1447.715
1973-10-01,1490.591
1974-01-01,1508.276
1974-04-01,1546.453
1974-07-01,1575.303
1974-10-01,1613.018
1975-01-01,1627.512
1975-04-01,1663.509
1975-07-01,1722.818
1975-10-01,1777.797
1976-01-01,1836.233
1976-04-01,1868.977
1976-07-01,1903.677
1976-10-01,1952.15
1977-01-01,2009.413
1977-04-01,2076.658
1977-07-01,2139.358
1977-10-01,2183.039
1978-01-01,2224.853
1978-04-01,2350.382
1978-07-01,2415.943
1978-10-01,2501.54
1979-01-01,2552.29
1979-04-01,2620.698
1979-07-01,2703.659
1979-10-01,2760.381
1980-01-01,2827.831
1980-04-01,2833.163
1980-07-01,2890.897
1980-10-01,3014.083
1981-01-01,3155.609
1981-04-01,3192.545
1981-07-01,3293.303
1981-10-01,3318.447
1982-01-01,3310.294
1982-04-01,3372.9
1982-07-01,3401.349
1982-10-01,3436.654
1983-01-01,3507.464
1983-04-01,3615.589
1983-07-01,3727.046
1983-10-01,3834.386
1984-01-01,3945.094
1984-04-01,4047.14
1984-07-01,4121.606
1984-10-01,4181.775
1985-01-01,4255.859
1985-04-01,4322.557
1985-07-01,4409.267
1985-10-01,4469.698
1986-01-01,4530.053
1986-04-01,4560.834
1986-07-01,4625.847
1986-10-01,4669.623
1987-01-01,4736.524
1987-04-01,4824.292
1987-07-01,4902.321
1987-10-01,5027.678
1988-01-01,5098.36
1988-04-01,5212.852
1988-07-01,5302.996
1988-10-01,5422.172
1989-01-01,5533.649
1989-04-01,5634.129
1989-07-01,5719.661
1989-10-01,5778.036
1990-01-01,5902.22
1990-04-01,5991.651
1990-07-01,6042.253
1990-10-01,6055.22
1991-01-01,6074.636
1991-04-01,6155.42
1991-07-01,6231.047
1991-10-01,6297.761
1992-01-01,6395.836
1992-04-01,6502.819
1992-07-01,6595.851
1992-10-01,6711.112
1993-01-01,6766.665
1993-04-01,6839.59
1993-07-01,6918.254
1993-10-01,7034.356
1994-01-01,7143.011
1994-04-01,7269.779
1994-07-01,7352.37
1994-10-01,7475.65
1995-01-01,7552.116
1995-04-01,7613.638
1995-07-01,7701.977
1995-10-01,7803.073
1996-01-01,7905.735
1996-04-01,8061.846
1996-07-01,8157.22
1996-10-01,8291.163
1997-01-01,8385.773
1997-04-01,8549.503
1997-07-01,8685.903
1997-10-01,8782.231
1998-01-01,8891.834
1998-04-01,8992.195
1998-07-01,9130.667
1998-10-01,9306.215
1999-01-01,9437.614
1999-04-01,9557.13
1999-07-01,9715.248
1999-10-01,9938.31
2000-01-01,10035.263
2000-04-01,10283.391
2000-07-01,10348.645
2000-10-01,10490.43
2001-01-01,10510.297
2001-04-01,10647.427
2001-07-01,10623.039
2001-10-01,10748.408
2002-01-01,10833.143
2002-04-01,10918.384
2002-07-01,11027.515
2002-10-01,11120.565
2003-01-01,11217.689
2003-04-01,11369.131
2003-07-01,11621.172
2003-10-01,11851.792
2004-01-01,12021.455
2004-04-01,12185.61
2004-07-01,12386.919
2004-10-01,12581.653
2005-01-01,12854.364
2005-04-01,12996.998
2005-07-01,13225.668
2005-10-01,13378.959
2006-01-01,13654.952
2006-04-01,13802.877
2006-07-01,13906.646
2006-10-01,14083.697
2007-01-01,14258.594
2007-04-01,14463.277
2007-07-01,14681.751
2007-10-01,14875.943
2008-01-01,14857.342
2008-04-01,15023.21
2008-07-01,15075.73
2008-10-01,14704.022
2009-01-01,14551.583
2009-04-01,14504.001
2009-07-01,14631.307
2009-10-01,14826.345
2010-01-01,14968.896
2010-04-01,15187.024
2010-07-01,15339.711
2010-10-01,15522.781
2011-01-01,15574.331
2011-04-01,15780.006
2011-07-01,15893.499
2011-10-01,16102.819
2012-01-01,16315.076
2012-04-01,16435.293
2012-07-01,16548.815
2012-10-01,16647.723
2013-01-01,16845.017
2013-04-01,16928.625
2013-07-01,17151.537
2013-10-01,17368.794
2014-01-01,17381.812
2014-04-01,17691.165
2014-07-01,17995.3
2014-10-01,18075.379
2015-01-01,18214.218
2015-04-01,18405.862
2015-07-01,18520.403
2015-10-01,18565.145
2016-01-01,18640.558
2016-04-01,18827.942
2016-07-01,18995.777
2016-10-01,19243.922
2017-01-01,19420.467
2017-04-01,19568.667
2017-07-01,19870.351
2017-10-01,20221.66
2018-01-01,20467.925
2018-04-01,20772.518
2018-07-01,20958.32
2018-10-01,21094.695
2019-01-01,21299.154
2019-04-01,21562.375
2019-07-01,21813.003
2019-10-01,21961.573
2020-01-01,21794.019
2020-04-01,19805.951
2020-07-01,21562.441
2020-10-01,21867.367
2021-01-01,22511.17
2021-04-01,23192.674
2021-07-01,23718.255
2021-10-01,24530.587
2022-01-01,24929.184
2022-04-01,25456.409
