Contiguous U.S., Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194004,50.23,-0.82
194104,52.02,0.97
194204,53.06,2.01
194304,52.88,1.83
194404,48.97,-2.08
194504,50.22,-0.83
194604,54.61,3.56
194704,50.95,-0.10
194804,53.35,2.30
194904,52.07,1.02
195004,48.65,-2.40
195104,49.73,-1.32
195204,51.66,0.61
195304,48.76,-2.29
195404,54.18,3.13
195504,52.86,1.81
195604,49.37,-1.68
195704,50.70,-0.35
195804,50.27,-0.78
195904,51.60,0.55
196004,52.59,1.54
196104,48.67,-2.38
196204,51.84,0.79
196304,51.89,0.84
196404,51.30,0.25
196504,51.89,0.84
196604,49.96,-1.09
196704,51.01,-0.04
196804,50.58,-0.47
196904,52.63,1.58
197004,49.44,-1.61
197104,50.27,-0.78
197204,50.81,-0.24
197304,48.83,-2.22
197404,51.55,0.50
197504,46.85,-4.20
197604,51.85,0.80
197704,54.07,3.02
197804,51.58,0.53
197904,50.14,-0.91
198004,51.44,0.39
198104,55.13,4.08
198204,48.63,-2.42
198304,47.01,-4.04
198404,49.60,-1.45
198504,54.36,3.31
198604,52.86,1.81
198704,53.53,2.48
198804,51.82,0.77
198904,52.88,1.83
199004,52.52,1.47
199104,52.54,1.49
199204,52.54,1.49
199304,49.91,-1.14
199404,52.66,1.61
199504,49.41,-1.64
199604,50.65,-0.40
199704,47.91,-3.14
199804,51.06,0.01
199904,51.55,0.50
200004,52.59,1.54
200104,53.08,2.03
200204,53.49,2.44
200304,51.89,0.84
200404,52.68,1.63
200504,52.27,1.22
200604,55.26,4.21
200704,50.54,-0.51
200804,50.40,-0.65
200904,50.92,-0.13
201004,53.24,2.19
201104,51.96,0.91
201204,54.68,3.63
201304,49.68,-1.37
201404,51.69,0.64
201504,53.24,2.19
201604,53.19,2.14
201704,53.80,2.75
201804,49.03,-2.02
201904,52.84,1.79
202004,50.88,-0.17
202104,51.85,0.80
202204,50.63,-0.42
