Contiguous U.S., Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194008,72.14,0.04
194108,72.07,-0.03
194208,71.78,-0.32
194308,73.45,1.35
194408,72.10,0.00
194508,72.16,0.06
194608,71.17,-0.93
194708,74.08,1.98
194808,72.05,-0.05
194908,72.10,0.00
195008,70.02,-2.08
195108,71.89,-0.21
195208,72.82,0.72
195308,72.10,0.00
195408,72.18,0.08
195508,73.87,1.77
195608,71.69,-0.41
195708,71.65,-0.45
195808,73.29,1.19
195908,73.17,1.07
196008,72.21,0.11
196108,72.70,0.60
196208,72.12,0.02
196308,71.98,-0.12
196408,70.72,-1.38
196508,71.06,-1.04
196608,70.86,-1.24
196708,71.22,-0.88
196808,70.59,-1.51
196908,73.22,1.12
197008,73.38,1.28
197108,72.01,-0.09
197208,71.67,-0.43
197308,72.61,0.51
197408,70.30,-1.80
197508,71.53,-0.57
197608,70.66,-1.44
197708,71.78,-0.32
197808,71.80,-0.30
197908,70.97,-1.13
198008,72.79,0.69
198108,72.10,0.00
198208,72.09,-0.01
198308,75.06,2.96
198408,73.13,1.03
198508,71.02,-1.08
198608,71.73,-0.37
198708,71.87,-0.23
198808,73.67,1.57
198908,71.31,-0.79
199008,72.28,0.18
199108,72.99,0.89
199208,69.84,-2.26
199308,71.89,-0.21
199408,72.21,0.11
199508,74.32,2.22
199608,72.43,0.33
199708,71.74,-0.36
199808,74.03,1.93
199908,72.91,0.81
200008,74.05,1.95
200108,74.30,2.20
200208,72.86,0.76
200308,74.66,2.56
200408,70.16,-1.94
200508,73.20,1.10
200608,73.40,1.30
200708,74.64,2.54
200808,72.28,0.18
200908,71.89,-0.21
201008,74.05,1.95
201108,75.00,2.90
201208,73.80,1.70
201308,72.99,0.89
201408,72.25,0.15
201508,72.95,0.85
201608,73.53,1.43
201708,72.01,-0.09
201808,73.51,1.41
201908,73.74,1.64
202008,74.71,2.61
202108,73.98,1.88
202208,74.59,2.49
