Contiguous U.S., Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194012,36.05,3.37
194112,36.12,3.44
194212,32.97,0.29
194312,32.59,-0.09
194412,30.67,-2.01
194512,29.08,-3.60
194612,36.18,3.50
194712,32.92,0.24
194812,32.58,-0.10
194912,33.26,0.58
195012,33.01,0.33
195112,31.23,-1.45
195212,33.44,0.76
195312,33.69,1.01
195412,33.91,1.23
195512,31.71,-0.97
195612,36.23,3.55
195712,37.00,4.32
195812,32.22,-0.46
195912,35.94,3.26
196012,30.40,-2.28
196112,31.08,-1.60
196212,33.40,0.72
196312,27.90,-4.78
196412,32.04,-0.64
196512,35.85,3.17
196612,32.68,0.00
196712,32.07,-0.61
196812,30.04,-2.64
196912,33.46,0.78
197012,33.58,0.90
197112,33.98,1.30
197212,29.86,-2.82
197312,33.71,1.03
197412,33.66,0.98
197512,34.29,1.61
197612,30.92,-1.76
197712,33.28,0.60
197812,29.80,-2.88
197912,36.03,3.35
198012,35.19,2.51
198112,33.66,0.98
198212,35.82,3.14
198312,25.47,-7.21
198412,34.54,1.86
198512,28.81,-3.87
198612,34.43,1.75
198712,34.54,1.86
198812,33.46,0.78
198912,27.73,-4.95
199012,30.83,-1.85
199112,35.74,3.06
199212,31.75,-0.93
199312,34.20,1.52
199412,36.23,3.55
199512,33.42,0.74
199612,33.91,1.23
199712,34.00,1.32
199812,35.55,2.87
199912,36.10,3.42
200012,28.44,-4.24
200112,36.12,3.44
200212,35.08,2.40
200312,35.29,2.61
200412,35.06,2.38
200512,32.70,0.02
200612,36.57,3.89
200712,33.22,0.54
200812,31.87,-0.81
200912,29.64,-3.04
201012,32.47,-0.21
201112,35.40,2.72
201212,35.92,3.24
201312,31.06,-1.62
201412,36.81,4.13
201512,38.66,5.98
201612,32.95,0.27
201712,34.29,1.61
201812,35.51,2.83
201912,36.43,3.75
202012,35.71,3.03
202112,39.34,6.66
