Contiguous U.S., Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194002,33.85,0.03
194102,33.53,-0.29
194202,30.74,-3.08
194302,36.28,2.46
194402,34.50,0.68
194502,35.28,1.46
194602,34.88,1.06
194702,31.41,-2.41
194802,31.62,-2.20
194902,31.91,-1.91
195002,35.55,1.73
195102,34.54,0.72
195202,35.46,1.64
195302,35.87,2.05
195402,41.41,7.59
195502,31.05,-2.77
195602,32.27,-1.55
195702,38.07,4.25
195802,31.98,-1.84
195902,32.49,-1.33
196002,30.52,-3.30
196102,37.42,3.60
196202,34.92,1.10
196302,34.12,0.30
196402,31.77,-2.05
196502,32.52,-1.30
196602,31.24,-2.58
196702,32.88,-0.94
196802,32.92,-0.90
196902,32.81,-1.01
197002,35.35,1.53
197102,33.48,-0.34
197202,33.55,-0.27
197302,33.58,-0.24
197402,34.74,0.92
197502,32.76,-1.06
197602,39.56,5.74
197702,36.03,2.21
197802,27.99,-5.83
197902,28.13,-5.69
198002,32.85,-0.97
198102,36.59,2.77
198202,32.59,-1.23
198302,36.86,3.04
198402,37.38,3.56
198502,30.87,-2.95
198602,35.85,2.03
198702,37.38,3.56
198802,33.69,-0.13
198902,29.17,-4.65
199002,36.70,2.88
199102,39.81,5.99
199202,39.70,5.88
199302,31.14,-2.68
199402,31.87,-1.95
199502,37.36,3.54
199602,35.69,1.87
199702,36.05,2.23
199802,38.71,4.89
199902,39.49,5.67
200002,39.78,5.96
200102,33.98,0.16
200202,36.39,2.57
200302,32.79,-1.03
200402,33.57,-0.25
200502,37.94,4.12
200602,34.83,1.01
200702,32.41,-1.41
200802,34.70,0.88
200902,36.77,2.95
201002,31.80,-2.02
201102,33.04,-0.78
201202,37.51,3.69
201302,34.77,0.95
201402,32.13,-1.69
201502,32.99,-0.83
201602,39.47,5.65
201702,41.18,7.36
201802,35.51,1.69
201902,31.84,-1.98
202002,36.18,2.36
202102,30.60,-3.22
202202,33.67,-0.15
