Contiguous U.S., Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194006,69.60,1.11
194106,67.80,-0.69
194206,67.91,-0.58
194306,68.77,0.28
194406,68.36,-0.13
194506,65.88,-2.61
194606,68.32,-0.17
194706,66.72,-1.77
194806,68.76,0.27
194906,69.24,0.75
195006,67.93,-0.56
195106,66.65,-1.84
195206,70.75,2.26
195306,70.18,1.69
195406,68.85,0.36
195506,66.54,-1.95
195606,70.36,1.87
195706,68.70,0.21
195806,67.93,-0.56
195906,69.96,1.47
196006,69.08,0.59
196106,69.49,1.00
196206,67.91,-0.58
196306,68.67,0.18
196406,68.00,-0.49
196506,66.85,-1.64
196606,67.93,-0.56
196706,67.55,-0.94
196806,68.50,0.01
196906,66.83,-1.66
197006,68.74,0.25
197106,69.44,0.95
197206,68.22,-0.27
197306,68.95,0.46
197406,68.49,0.00
197506,67.51,-0.98
197606,67.80,-0.69
197706,70.34,1.85
197806,68.94,0.45
197906,67.82,-0.67
198006,68.74,0.25
198106,69.82,1.33
198206,66.33,-2.16
198306,67.10,-1.39
198406,68.61,0.12
198506,68.11,-0.38
198606,70.41,1.92
198706,70.25,1.76
198806,70.88,2.39
198906,68.13,-0.36
199006,70.23,1.74
199106,69.08,0.59
199206,67.44,-1.05
199306,67.21,-1.28
199406,70.95,2.46
199506,67.55,-0.94
199606,69.87,1.38
199706,68.31,-0.18
199806,68.13,-0.36
199906,68.31,-0.18
200006,69.03,0.54
200106,69.24,0.75
200206,70.86,2.37
200306,68.05,-0.44
200406,68.09,-0.40
200506,69.21,0.72
200606,70.75,2.26
200706,69.87,1.38
200806,69.60,1.11
200906,68.54,0.05
201006,70.48,1.99
201106,69.82,1.33
201206,70.54,2.05
201306,70.39,1.90
201406,69.58,1.09
201506,71.37,2.88
201606,71.76,3.27
201706,70.36,1.87
201806,71.55,3.06
201906,68.72,0.23
202006,70.29,1.80
202106,72.59,4.10
202206,70.79,2.30
