Contiguous U.S., Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194003,41.52,0.02
194103,39.20,-2.30
194203,41.31,-0.19
194303,38.50,-3.00
194403,38.50,-3.00
194503,45.54,4.04
194603,46.78,5.28
194703,38.75,-2.75
194803,38.71,-2.79
194903,40.77,-0.73
195003,38.84,-2.66
195103,38.55,-2.95
195203,37.69,-3.81
195303,43.75,2.25
195403,39.25,-2.25
195503,40.06,-1.44
195603,40.75,-0.75
195703,41.27,-0.23
195803,37.67,-3.83
195903,41.45,-0.05
196003,35.91,-5.59
196103,43.47,1.97
196203,37.90,-3.60
196303,43.72,2.22
196403,38.82,-2.68
196503,35.44,-6.06
196603,43.00,1.50
196703,43.63,2.13
196803,43.56,2.06
196903,36.03,-5.47
197003,38.50,-3.00
197103,39.65,-1.85
197203,44.04,2.54
197303,44.29,2.79
197403,44.38,2.88
197503,38.70,-2.80
197603,42.31,0.81
197703,43.18,1.68
197803,41.31,-0.19
197903,42.06,0.56
198003,39.36,-2.14
198103,42.85,1.35
198203,42.03,0.53
198303,42.40,0.90
198403,40.08,-1.42
198503,43.48,1.98
198603,46.18,4.68
198703,42.57,1.07
198803,42.40,0.90
198903,42.67,1.17
199003,44.74,3.24
199103,43.32,1.82
199203,44.71,3.21
199303,41.79,0.29
199403,44.51,3.01
199503,43.34,1.84
199603,39.02,-2.48
199703,44.67,3.17
199803,41.34,-0.16
199903,42.80,1.30
200003,46.04,4.54
200103,41.49,-0.01
200203,39.54,-1.96
200303,43.30,1.80
200403,47.41,5.91
200503,42.31,0.81
200603,42.62,1.12
200703,47.66,6.16
200803,41.86,0.36
200903,42.87,1.37
201003,43.57,2.07
201103,43.07,1.57
201203,50.41,8.91
201303,40.91,-0.59
201403,40.51,-0.99
201503,45.39,3.89
201603,47.50,6.00
201703,46.15,4.65
201803,42.73,1.23
201903,40.28,-1.22
202003,46.08,4.58
202103,45.52,4.02
202203,44.06,2.56
