Contiguous U.S., Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194011,39.00,-2.69
194111,42.91,1.22
194211,43.16,1.47
194311,40.91,-0.78
194411,41.50,-0.19
194511,42.01,0.32
194611,41.74,0.05
194711,38.10,-3.59
194811,41.59,-0.10
194911,45.27,3.58
195011,40.64,-1.05
195111,38.08,-3.61
195211,39.92,-1.77
195311,43.88,2.19
195411,44.06,2.37
195511,38.23,-3.46
195611,40.32,-1.37
195711,40.26,-1.43
195811,43.02,1.33
195911,38.66,-3.03
196011,42.73,1.04
196111,40.50,-1.19
196211,43.18,1.49
196311,44.04,2.35
196411,42.33,0.64
196511,44.65,2.96
196611,43.21,1.52
196711,41.54,-0.15
196811,41.14,-0.55
196911,41.59,-0.10
197011,41.31,-0.38
197111,41.61,-0.08
197211,38.93,-2.76
197311,42.93,1.24
197411,42.39,0.70
197511,42.60,0.91
197611,38.48,-3.21
197711,42.87,1.18
197811,41.47,-0.22
197911,39.94,-1.75
198011,42.31,0.62
198111,44.74,3.05
198211,41.13,-0.56
198311,43.03,1.34
198411,41.54,-0.15
198511,39.51,-2.18
198611,41.40,-0.29
198711,43.97,2.28
198811,43.29,1.60
198911,42.93,1.24
199011,44.92,3.23
199111,39.43,-2.26
199211,40.06,-1.63
199311,39.22,-2.47
199411,42.57,0.88
199511,42.04,0.35
199611,39.63,-2.06
199711,40.87,-0.82
199811,44.91,3.22
199911,48.11,6.42
200011,38.03,-3.66
200111,47.41,5.72
200211,41.97,0.28
200311,42.35,0.66
200411,43.99,2.30
200511,45.01,3.32
200611,44.08,2.39
200711,44.01,2.32
200811,43.92,2.23
200911,45.84,4.15
201011,42.31,0.62
201111,43.75,2.06
201211,44.01,2.32
201311,41.61,-0.08
201411,39.25,-2.44
201511,44.60,2.91
201611,47.97,6.28
201711,45.03,3.34
201811,40.01,-1.68
201911,41.11,-0.58
202011,46.31,4.62
202111,45.07,3.38
